@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lp NUMERIC

@DATA
0240f5bddc39ad2f0a786c811fc434a8,1,6.41,0.22,88.38,20.07,10.34,10.06,5.0,0.69,2.8,2.79,2.11,180.0
dcac26e190c906c61ac7222d6d4628c7,1,0.6,0.01,0.06,20.02,5.26,5.73,4.99,1.59,2.33,2.46,2.0,19.27
90add18e4ee4facb4f37737a9a2602cc,1,4.2,0.12,43.22,20.1,8.67,10.01,5.01,0.31,2.49,2.49,2.03,180.0
fbf3b9f8a03a1efedae3da04622fe96e,1,0.03,0.01,0.01,20.01,0.14,1.08,4.99,0.05,2.66,3.65,2.0,180.0
44ed91b4ca5a5d8323cab4c268d81fd1,1,0.36,0.01,0.03,20.01,3.7,2.72,5.01,1.09,2.31,2.51,2.0,11.88
b8e3b884886922343f5cb72d92c24b97,1,0.04,-0.0,-0.0,20.01,0.27,0.54,4.98,0.91,2.3,2.51,2.0,2.75
1b78438db7da55c2b4c4b8ec6b6cd6c6,1,0.22,0.01,1.23,20.15,0.54,10.01,5.01,0.2,2.13,2.27,2.0,180.0
ae5f6e83a289d226a353efd95b663717,1,10.37,0.25,180.0,20.05,8.68,10.07,5.03,1.78,2.72,2.73,2.04,180.0
129162378e8ad29b5485a9c53feee4b7,1,0.07,-0.0,0.15,11.28,0.18,9.96,5.0,0.57,2.23,3.15,2.0,180.0
5cc5e3d24402696ed4ec03edfa42d663,1,10.67,0.35,175.55,20.25,8.74,10.05,5.0,1.92,2.47,2.5,2.03,180.0
d518d21a9d851741940749cb59f558af,1,0.0,0.0,0.0,0.45,0.03,0.01,4.99,0.0,1.62,2.46,2.0,0.07
0e775873f4c4bbc81ff92b87dd3e15e8,1,2.38,0.14,78.37,20.04,9.23,10.01,5.03,12.9,2.45,2.56,2.05,180.0
7fe153ced2c966dcdeb42b6714b4d6b7,1,10.11,0.12,174.92,20.04,8.47,10.07,5.0,1.7,2.46,2.52,2.0,180.0
cfa14a7015b0f7fecd98e898f3c95896,1,59.77,0.84,180.0,77.95,65.27,10.16,5.02,180.0,5.36,5.11,2.01,180.0
d8602e623f87dd33f4a1a69ee42d15be,1,7.39,0.09,17.6,20.01,6.4,10.02,4.99,0.03,2.18,2.37,2.0,180.0
02f2343e32f9070f149708d77556b4aa,1,18.19,1.37,17.08,20.47,26.87,10.33,5.05,1.59,6.59,6.44,2.0,180.0
b2bcdd97e7d0ca8858b412eb34b26ba9,1,3.75,0.12,57.78,20.04,7.05,10.03,5.03,2.46,2.39,2.4,2.05,180.0
b913c17d26ac9f3ad15fa83dc98960c7,1,11.59,0.21,173.75,20.05,8.78,10.01,5.0,1.62,2.5,2.55,2.04,180.0
6a3e3d3a65a46608b44d81f9e4621087,1,0.34,0.02,0.8,12.98,1.34,10.01,5.0,-0.0,2.22,2.97,2.0,118.13
a44fce1796383ea31df08af3b0f65db3,1,0.24,0.02,1.31,20.21,0.52,10.01,5.0,0.2,2.13,2.26,2.0,180.0
5e66b728b2445ec69f27e0f1a49f4b29,1,0.1,0.01,0.03,20.02,0.6,4.9,5.02,-0.0,2.43,3.02,2.0,28.45
622787535593269d5e9a1dc4fe01c4af,1,0.2,0.03,0.08,20.03,2.78,10.01,5.02,0.38,2.34,2.83,2.0,180.0
85aa1f0820da17412b8ee803b4a85207,1,10.7,0.14,178.29,20.04,8.65,10.02,4.99,1.95,2.46,2.48,2.03,180.0
3159a02d096424aab6295c76360633a9,1,0.01,-0.0,0.01,20.01,0.78,0.19,4.99,0.37,2.36,2.56,2.0,180.0
d21199e73859ca35386912c5c475d6c7,1,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.84,1.48,2.0,0.01
e4128445a07bb86afca1f3590d9adfa9,1,0.28,0.0,0.07,20.01,5.23,10.01,5.0,0.33,2.33,2.58,2.0,26.3
a4bffff28417d6b4d72f7b9122988ba5,1,82.55,0.16,180.0,20.15,23.22,10.03,5.06,0.11,2.78,2.8,2.15,180.0
f8b7241f662ab4d36337b74bb7984122,1,0.44,0.01,0.33,10.59,0.5,10.01,4.99,0.16,2.29,3.51,2.0,43.16
6e3ba15d8b33f40738f7e7d7355799a5,1,3.97,0.32,42.88,20.31,8.62,10.08,5.0,0.31,2.48,2.49,2.0,180.0
047c92e7c0a36a23d8107f4313517719,1,0.09,0.01,0.01,20.09,0.25,2.32,5.02,0.08,2.11,2.62,2.0,180.0
09d8544494e54bc756438e69567b4ba7,1,0.14,-0.0,0.03,20.01,0.19,3.83,5.0,0.13,2.31,2.55,2.0,180.0
fdfd5975c57d7cd2264ef6aff6cb4815,1,0.0,0.0,0.01,8.89,0.79,0.15,5.02,0.01,2.64,3.35,2.0,180.0
f0f279c7d5043e783f73237cf6bddf33,1,0.58,0.03,2.86,4.94,3.15,10.01,4.99,0.39,2.15,2.6,2.0,147.73
d40af7b45bba9c64033c0dd47b07f4a4,1,0.0,0.0,0.0,6.62,0.06,0.11,5.0,0.01,2.76,3.95,2.0,5.2
a33d32bb816c0da62c7d946c18286a0d,1,0.01,-0.0,0.01,20.01,0.78,0.19,4.99,0.32,2.35,2.55,2.0,180.0
b96071f89fa1b1670b8375010b1dd42b,1,0.01,-0.0,0.01,20.01,0.71,0.19,5.0,0.39,2.34,2.57,2.0,180.0
f8a966a2ba189ad5fa45f870f3c5e200,1,10.91,0.14,173.13,20.04,8.44,10.07,5.02,1.62,2.45,2.52,2.03,180.0
35ad744923721e37a2f58443179c31a8,1,27.32,0.3,180.0,20.09,11.07,10.03,5.0,97.95,3.18,3.25,2.01,180.0
e02e21075d3bb8b0e64ea9b8122c75ff,1,0.02,-0.0,-0.0,3.89,0.14,0.19,4.99,0.03,2.62,3.57,2.0,180.0
608941b989227d93c62b3a9b4280011b,1,0.58,0.02,0.48,20.02,0.62,10.01,4.99,0.21,2.24,3.39,2.0,128.74
bb0613595001749a0ada02f2da85bc89,1,0.03,0.0,0.01,8.98,0.3,0.49,4.99,0.04,2.55,3.34,2.0,26.37
78a0e76b68b536e2ea7d801fc6061cd2,1,0.23,0.01,0.02,20.03,2.35,1.66,4.99,0.92,2.46,2.84,2.0,30.22
fee70cede2b5b55bfbdb6e48fbe7ce4f,1,0.23,0.05,1.09,4.44,0.74,10.01,5.0,0.02,2.17,2.48,2.0,180.0
c3b4a96d92da617218449abad4334d6d,1,0.06,0.0,0.03,20.02,0.2,3.13,5.0,0.2,2.63,3.62,2.0,180.0
93695f689b57cdb57c9b6d0d726e0f53,1,0.38,0.03,1.46,3.11,1.9,10.01,5.03,0.23,2.18,2.84,2.0,180.0
59047491e4828ed2bb79572330df6f77,1,0.0,0.0,0.0,4.24,0.04,0.06,4.98,0.01,2.8,3.88,2.0,2.76
47135a1fd4c86afbfec0c7879c45268b,1,4.16,0.14,46.14,20.1,9.5,10.05,5.03,0.39,2.67,2.62,2.19,180.0
90e839c4b05d4a7ac011435921551060,1,4.3,0.14,43.11,20.1,8.84,10.02,5.01,0.32,2.52,2.54,2.0,180.0
a42230be4432b010789b6f97b090343c,1,0.5,0.06,5.41,31.55,1.12,10.01,4.99,0.29,2.13,2.13,2.0,180.0
6f956a3f95ccaf35a3de1fe72b9cf79e,1,0.1,0.01,0.26,20.02,0.23,10.01,4.99,0.16,2.17,3.0,2.0,180.0
48eacbc152c7710dfd6fe17a8a17199e,1,0.01,-0.0,0.01,20.01,0.77,0.19,5.0,0.37,2.34,2.58,2.0,180.0
31cc22a0f42ebaa109a5b807eb6178c2,1,0.62,0.02,2.74,4.68,2.96,10.01,5.1,0.31,2.32,2.69,2.0,154.67
aa4638ca3654f1a300c809125a3133ee,1,5.83,0.14,81.65,20.04,6.85,10.02,5.03,1.17,2.38,2.39,2.0,180.0
af834fd3ce15078d2ab055c996758c00,1,7.51,0.28,180.0,20.09,9.22,10.07,5.0,0.06,3.11,3.13,2.01,180.0
