@RELATION FEATURE_VALUES

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE Pre-featuretime NUMERIC
@ATTRIBUTE vars-clauses-ratio NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE VCG-CLAUSE-min NUMERIC
@ATTRIBUTE VCG-CLAUSE-max NUMERIC
@ATTRIBUTE VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARY+ NUMERIC
@ATTRIBUTE TRINARY+ NUMERIC
@ATTRIBUTE Basic-featuretime NUMERIC
@ATTRIBUTE VCG-VAR-mean NUMERIC
@ATTRIBUTE VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE VCG-VAR-min NUMERIC
@ATTRIBUTE VCG-VAR-max NUMERIC
@ATTRIBUTE VCG-VAR-entropy NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE HORNY-VAR-mean NUMERIC
@ATTRIBUTE HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE HORNY-VAR-min NUMERIC
@ATTRIBUTE HORNY-VAR-max NUMERIC
@ATTRIBUTE HORNY-VAR-entropy NUMERIC
@ATTRIBUTE horn-clauses-fraction NUMERIC
@ATTRIBUTE VG-mean NUMERIC
@ATTRIBUTE VG-coeff-variation NUMERIC
@ATTRIBUTE VG-min NUMERIC
@ATTRIBUTE VG-max NUMERIC
@ATTRIBUTE KLB-featuretime NUMERIC
@ATTRIBUTE CG-mean NUMERIC
@ATTRIBUTE CG-coeff-variation NUMERIC
@ATTRIBUTE CG-min NUMERIC
@ATTRIBUTE CG-max NUMERIC
@ATTRIBUTE CG-entropy NUMERIC
@ATTRIBUTE cluster-coeff-mean NUMERIC
@ATTRIBUTE cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE cluster-coeff-min NUMERIC
@ATTRIBUTE cluster-coeff-max NUMERIC
@ATTRIBUTE cluster-coeff-entropy NUMERIC
@ATTRIBUTE CG-featuretime NUMERIC
@ATTRIBUTE SP-bias-mean NUMERIC
@ATTRIBUTE SP-bias-coeff-variation NUMERIC
@ATTRIBUTE SP-bias-min NUMERIC
@ATTRIBUTE SP-bias-max NUMERIC
@ATTRIBUTE SP-bias-q90 NUMERIC
@ATTRIBUTE SP-bias-q10 NUMERIC
@ATTRIBUTE SP-bias-q75 NUMERIC
@ATTRIBUTE SP-bias-q25 NUMERIC
@ATTRIBUTE SP-bias-q50 NUMERIC
@ATTRIBUTE SP-unconstraint-mean NUMERIC
@ATTRIBUTE SP-unconstraint-coeff-variation NUMERIC
@ATTRIBUTE SP-unconstraint-min NUMERIC
@ATTRIBUTE SP-unconstraint-max NUMERIC
@ATTRIBUTE SP-unconstraint-q90 NUMERIC
@ATTRIBUTE SP-unconstraint-q10 NUMERIC
@ATTRIBUTE SP-unconstraint-q75 NUMERIC
@ATTRIBUTE SP-unconstraint-q25 NUMERIC
@ATTRIBUTE SP-unconstraint-q50 NUMERIC
@ATTRIBUTE sp-featuretime NUMERIC
@ATTRIBUTE DIAMETER-mean NUMERIC
@ATTRIBUTE DIAMETER-coeff-variation NUMERIC
@ATTRIBUTE DIAMETER-min NUMERIC
@ATTRIBUTE DIAMETER-max NUMERIC
@ATTRIBUTE DIAMETER-entropy NUMERIC
@ATTRIBUTE DIAMETER-featuretime NUMERIC
@ATTRIBUTE cl-num-mean NUMERIC
@ATTRIBUTE cl-num-coeff-variation NUMERIC
@ATTRIBUTE cl-num-min NUMERIC
@ATTRIBUTE cl-num-max NUMERIC
@ATTRIBUTE cl-num-q90 NUMERIC
@ATTRIBUTE cl-num-q10 NUMERIC
@ATTRIBUTE cl-num-q75 NUMERIC
@ATTRIBUTE cl-num-q25 NUMERIC
@ATTRIBUTE cl-num-q50 NUMERIC
@ATTRIBUTE cl-size-mean NUMERIC
@ATTRIBUTE cl-size-coeff-variation NUMERIC
@ATTRIBUTE cl-size-min NUMERIC
@ATTRIBUTE cl-size-max NUMERIC
@ATTRIBUTE cl-size-q90 NUMERIC
@ATTRIBUTE cl-size-q10 NUMERIC
@ATTRIBUTE cl-size-q75 NUMERIC
@ATTRIBUTE cl-size-q25 NUMERIC
@ATTRIBUTE cl-size-q50 NUMERIC
@ATTRIBUTE cl-featuretime NUMERIC
@ATTRIBUTE vars-reduced-depth-1 NUMERIC
@ATTRIBUTE vars-reduced-depth-4 NUMERIC
@ATTRIBUTE vars-reduced-depth-16 NUMERIC
@ATTRIBUTE vars-reduced-depth-64 NUMERIC
@ATTRIBUTE vars-reduced-depth-256 NUMERIC
@ATTRIBUTE unit-featuretime NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE ls-saps-featuretime NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE ls-gsat-featuretime NUMERIC
@ATTRIBUTE lobjois-mean-depth-over-vars NUMERIC
@ATTRIBUTE lobjois-log-num-nodes-over-vars NUMERIC
@ATTRIBUTE lobjois-featuretime NUMERIC
@ATTRIBUTE LP_OBJ NUMERIC
@ATTRIBUTE LPSLack-mean NUMERIC
@ATTRIBUTE LPSLack-coeff-variation NUMERIC
@ATTRIBUTE LPSLack-min NUMERIC
@ATTRIBUTE LPSLack-max NUMERIC
@ATTRIBUTE lpIntRatio NUMERIC
@ATTRIBUTE lpTIME NUMERIC

@DATA
075ca0a158690a55b7254d9aaee2e103,1,126995.0,297208.0,46561.0,273251.0,1.727497262,0.08767397,0.57,0.170396449,0.46391779,0.357230511,0.0,1.0,0.904047909,7.5709e-05,0.142731442,4.2954e-05,8.5909e-05,0.704007898,0.0,0.001888374,0.47304127,0.02,7.5709e-05,0.405756903,2.9277e-05,0.000955166,2.062859889,5.1693e-05,0.00208706,0.0,0.166666667,0.008442407,3.5001e-05,0.441557079,7.319e-06,0.000373283,2.253042201,0.456305741,3.2427e-05,0.350561668,1.8298e-05,0.000329368,2.53,0.000131918,0.349709459,4.3916e-05,0.00101738,2.85371497,0.261764263,0.213265479,0.044026396,0.463768116,2.767471538,5.19,0.002156317,5.059314631,0.0,0.288283313,0.004600901,2.9e-08,0.003610388,6.5e-08,0.000553935,0.036085242,0.97261021,0.0,0.153999118,0.102877619,0.005399147,0.075729296,0.011317059,0.018963192,1.06,134.857271095,0.014262658,131.0,138.0,1.992099528,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.00015034,0.000257726,0.000257726,0.0,3976.66666667,0.326510592,7615.66666667,0.002977929,7624.0,7590.0,7624.0,0.95121358,0.639354909,0.840893989,0.064370168,2.16,3536.75,0.173969338,7627.75,0.004413773,7620.5,7597.0,7650.0,0.324292639,1.119157253,0.820928337,0.032400424,2.55,0.036975688,0.078481833,2.01,?,0.0,0.0,0.0,0.0,0.0,96.4
da43a3ef0ef5d34143e765d480dedc7a,1,624.0,612150.0,624.0,612150.0,0.0,0.0,1.65,0.001019358,0.246005516,0.712459323,0.0,1.0,1.419361047,0.017556327,0.019174301,0.012820513,0.017628205,0.184456554,0.0,0.0,0.0,0.14,0.017556327,0.124250633,0.01240709,0.026181491,6.358393473,0.092569174,0.01377059,0.005576062,0.131091445,1.72490616,0.000108869,0.259770814,2.9405e-05,0.000222168,4.177973922,0.006220698,0.001017724,0.0,0.001017724,0.001017724,1.41,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,0.0,-0.0,201.52,0.165344934,0.141051917,0.011260923,0.228371229,0.194740315,0.137906535,0.17987479,0.149960776,0.165916058,0.496755988,0.000842004,0.49509294,0.497790988,0.497276301,0.496229747,0.497061239,0.496466478,0.496771396,8.38,2.0,0.0,2.0,2.0,-0.0,10.06,326.608695652,0.139279316,234.0,446.0,387.0,275.0,359.0,292.0,319.0,13.323541959,0.100299511,11.454873646,17.396039604,15.165745856,12.040123457,13.937694704,12.300283286,13.009677419,5.02,0.0,0.0,0.0,0.0,0.0,2.36,1.864864865,2.820991318,306.675675676,0.172029732,315.0,299.0,326.0,1.0,0.0,1.003086131,0.018714447,2.44,1.243243243,1.190105712,305.918918919,0.173796535,310.0,298.0,331.0,1.0,0.0,1.000906947,0.005511746,2.43,0.473249507,0.550160116,2.0,?,?,?,?,?,?,?
c0069efa0c924e416878d9426f1ef92e,1,900.0,41634.0,900.0,41634.0,0.0,0.0,0.03,0.021616948,1.0,0.0,1.0,1.0,-0.0,0.00403519,2.537936285,0.002222222,0.091111111,0.241703352,0.0,0.969063746,0.969063746,0.0,0.00403519,0.155583754,0.002690109,0.005524331,4.558715883,0.152344676,0.116069774,0.0,0.572519084,3.637119831,0.002153475,0.093035645,0.001561224,0.002738147,3.512181001,0.969063746,0.020966144,0.030828649,0.017413652,0.021592929,0.02,-1.0,-0.0,-1.0,0.0,?,-1.0,-0.0,-1.0,0.0,-0.0,20.01,0.894871257,0.05888481,0.751006856,0.986252839,0.958824642,0.819928957,0.940930464,0.855464246,0.902392461,0.00017755,1.050719532,9.743e-06,0.001679404,0.000377788,3.8255e-05,0.000221131,6.6813e-05,0.000117634,2.33,2.989988877,0.033295611,2.0,3.0,0.056052642,0.74,999.606060606,1.47306871,216.0,4434.0,4302.0,223.0,576.0,232.0,251.0,157.498316109,0.141636893,133.825203252,204.305439331,199.971875709,139.622406639,155.219088937,143.255506608,147.490990991,4.99,0.0,0.0,0.0,0.0,0.0,1.09,9.01853759,5.254698359,400.126673532,0.050072558,401.0,380.0,419.0,18.566532833,0.138005456,0.99822755,0.005840064,2.3,20.169607843,16.217337848,400.611764706,0.048517612,401.0,382.0,420.0,15.648404378,0.267670114,0.99730803,0.031346716,2.54,0.893258921,0.936278137,2.0,?,?,?,?,?,?,?
eec821f866557886a5b0352332943fa2,1,700.0,27278.0,700.0,27278.0,0.0,0.0,0.04,0.025661705,1.0,0.0,1.0,1.0,-0.0,0.010707268,2.171716379,0.002857143,0.114285714,0.684854304,0.0,0.895850136,0.895850136,-0.0,0.010707268,0.224413348,0.00612215,0.015507002,5.288377083,0.497103586,0.126882932,0.115044248,0.737430168,3.831240894,0.002559572,0.11388683,0.001723,0.003665958,3.445497576,0.895850136,0.025621799,0.000497141,0.025515067,0.025625046,0.02,-1.0,-0.0,-1.0,0.0,?,-1.0,-0.0,-1.0,0.0,-0.0,20.05,0.863924862,0.062968069,0.733100608,0.957561135,0.934039185,0.788188573,0.909670698,0.817107073,0.86953279,0.000220121,1.204096428,1.921e-06,0.002179245,0.000489997,3.1825e-05,0.000272815,6.4991e-05,0.000132007,5.17,2.071530758,0.124405273,2.0,3.0,0.257580666,0.55,4160.5,0.119048473,3110.0,4563.0,4563.0,3110.0,4537.0,3886.0,4477.0,184.880286573,0.042400796,177.056044836,202.061736334,202.061736334,177.056044836,193.088008235,180.871289322,182.024269663,4.99,0.0,0.0,0.0,0.0,0.0,0.98,12.742088608,13.719081553,301.539556962,0.051271272,302.0,285.0,318.0,14.887251834,0.145218491,0.996284226,0.028163028,2.28,10.224409449,0.350175105,301.47480315,0.04317517,302.0,285.0,318.0,12.932272386,0.267772697,0.997489496,0.000866401,2.48,0.884609375,0.921967705,2.0,?,?,?,?,?,?,?
26114429758a203d651f4df87c94de4c,1,7009.0,13996.0,936.0,3557.0,6.488247863,2.934776497,0.02,0.263143098,0.36840308,0.750132406,0.0,1.0,1.411378009,0.005459921,1.947335587,0.002136752,0.077991453,1.463979375,0.0,0.270171493,0.717458532,-0.0,0.005459921,1.764046671,0.001405679,0.034860838,1.026075352,0.112522376,0.287648936,0.0,0.951219512,0.739015809,0.005371015,1.74463013,0.001405679,0.033736295,1.021086799,0.958391903,0.009039597,1.571390429,0.002249086,0.0534158,-0.0,0.006099153,1.725555468,0.001405679,0.066348046,2.374089097,0.178078029,0.344704623,0.008510638,0.377777778,2.480685281,0.4,0.30304331,0.874442815,8.2012e-05,0.931240791,0.628920512,0.023228999,0.555085542,0.08205602,0.209379752,0.253893865,0.369320899,2.0118e-05,0.355556521,0.344540925,0.000821768,0.302393319,0.268646416,0.276568768,0.33,4.177540107,0.120904805,3.0,5.0,0.738598087,0.05,3491.952380952,0.151979234,2080.0,4128.0,4024.0,2777.0,3974.0,3197.0,3679.0,24.286913093,0.150848517,14.84375,28.65806927,28.29798995,19.138479441,27.098234843,21.888396811,25.054906225,5.0,0.00534188,0.012820513,0.026709402,0.026709402,0.026709402,-0.0,10.809767442,0.9190888,181.924651163,0.059954455,182.0,168.0,196.0,0.442981394,0.208001298,0.70401093,0.044654947,3.15,3.874541453,0.995075166,181.988994864,0.061534177,182.0,167.0,197.0,0.184842171,0.257596581,0.69322514,0.041746162,3.84,0.203190891,0.705843375,2.0,-1.544560022,0.064102564,2.607680962,0.0,0.5,0.871794872,0.14
7aaf3275cbe217044ef305f0a1ca8eb5,1,348.0,4817.0,319.0,4788.0,0.090909091,0.006056809,0.0,0.066624896,1.0,0.0,1.0,1.0,-0.0,0.011494253,1.507556723,0.006269592,0.068965517,0.286835983,0.0,0.916666667,0.916666667,0.0,0.011494253,0.041182147,0.010025063,0.011695906,0.575729514,0.0,0.0,0.0,0.0,-0.0,0.005747126,0.041182147,0.005012531,0.005847953,0.575729514,0.916666667,0.065306946,0.039865118,0.057226399,0.06641604,0.0,0.020725634,1.508299804,0.010651629,0.126357561,1.113707909,0.033558435,0.272756788,0.00330033,0.038461538,0.286835983,1.55,0.784513515,0.004904966,0.782657888,0.796672312,0.789598979,0.782750273,0.78297028,0.78284797,0.782923157,0.003149998,0.279985373,0.002788636,0.006066145,0.004075029,0.00278997,0.002795612,0.00279072,0.002792526,0.06,2.169811321,0.173041293,2.0,3.0,0.455586912,0.01,4920.555555556,0.002834074,4885.0,4934.0,4934.0,4885.0,4930.0,4919.0,4922.0,74.177117527,0.028849325,70.248515865,76.705882353,76.705882353,70.248515865,75.461585366,74.47792472,74.914059325,5.0,0.0,0.0,0.0,0.159874608,0.595611285,0.03,18.866825918,0.165648343,135.999701403,0.069263478,136.0,124.0,148.0,7.294478826,0.100537774,0.998822838,0.003751942,2.54,18.014835058,0.00671137,135.701346867,0.068016468,136.0,124.0,147.0,6.395633845,0.170699108,0.998028649,0.001251368,2.74,0.877136107,0.913187973,2.0,0.0,0.053291536,2.895229342,0.0,0.5,0.893416928,0.09
1ce81dbba1292bf791e194b17aa2a219,1,15195.0,46499.0,13261.0,43598.0,0.145841188,0.06653975,0.14,0.304165329,0.230408123,1.460533595,0.0,1.0,0.945345084,0.000284624,1.096364841,0.000150818,0.001281955,0.964083086,0.0,0.600761503,0.889100417,0.01,0.000284624,1.540100044,0.000183495,0.003096472,0.325757539,0.240653717,0.045504755,0.0,0.333333333,0.325270546,0.00018427,2.182213126,9.1747e-05,0.002064315,0.313698093,0.911280334,0.000582396,2.086398225,0.000412863,0.015505298,0.21,0.001590821,0.516567233,0.001123905,0.00644525,2.054695431,0.032437687,0.285625653,0.007092199,0.04,0.922490151,5.78,0.661314942,0.198988797,6.477e-05,0.794958133,0.70395805,0.670021303,0.696171116,0.679342971,0.688033275,0.145482352,0.246178271,0.0,0.471339594,0.155515428,0.145843877,0.153297814,0.149467185,0.151896091,0.44,4.048323858,0.054530229,3.0,5.0,0.207965989,10.01,4107.333333333,0.252074401,1928.0,4722.0,4716.0,2039.0,4704.0,4607.0,4675.0,68.241662592,0.156214421,50.002452182,77.564885496,76.225977891,50.18620332,76.161795849,63.528977643,74.437180579,4.98,0.0,0.0,0.0,0.0,0.0,0.23,341.285714286,4.515714142,5392.39285714,0.196087632,5583.0,5531.0,5626.0,0.796766982,0.199732911,0.92825983,0.196003949,2.18,467.785714286,1.679257252,5467.21428571,0.158237209,5602.5,5536.0,5645.0,1.198571237,0.593858886,1.04289757,0.272318919,2.31,0.632428271,0.915952159,2.0,?,?,?,?,?,?,?
3728fe50d8038c639c2d9c84e04fe2b1,1,689.0,16922.0,689.0,16922.0,0.0,0.0,0.02,0.040716227,0.337889724,0.678910299,0.0,1.0,2.575809417,0.010078257,0.304212357,0.002902758,0.031930334,2.107786278,0.0,0.006914076,0.055135327,-0.0,0.010078257,1.238947456,0.000531852,0.063881338,5.160658888,0.086171816,0.101912798,0.0,0.793103448,3.029593895,0.00085237,0.596656622,0.000177284,0.002954733,3.284870824,0.115589174,0.001971481,0.415855601,0.000354568,0.004313911,-0.0,-1.0,-0.0,-1.0,0.0,?,-1.0,-0.0,-1.0,0.0,-0.0,20.03,0.140963618,0.9565131,0.000126934,0.744591064,0.329821057,0.017926534,0.188544638,0.049199483,0.097434766,0.036973446,0.965342564,1.501e-06,0.17383651,0.085615652,0.000371094,0.064690644,0.003130852,0.029150229,0.43,7.466569767,0.119008222,6.0,10.0,1.273811008,0.41,1945.555555556,0.202207323,1387.0,2897.0,2372.0,1454.0,2223.0,1664.0,1904.0,28.88650227,0.1124532,22.287994448,34.089326615,33.550420168,24.975491888,31.610320285,26.230725624,28.66851595,4.99,0.0,0.0,0.015965167,0.094339623,0.094339623,0.01,52.704445836,0.139712725,111.848465874,0.071087519,112.0,103.0,121.0,0.980355341,0.24200991,0.852597175,0.052403393,2.32,50.227609428,0.098661567,111.354882155,0.064440691,112.0,102.0,120.0,0.466132363,0.363873411,0.844087735,0.029484591,2.76,0.171282235,0.396257762,2.0,0.130420555,0.184222957,0.963847391,-0.0,0.5,0.328011611,136.9
028d0cc7af63e9bba5795f20e24db4f6,1,7383.0,24320.0,2286.0,10070.0,2.229658793,1.41509434,0.02,0.227010924,0.497210896,0.685778451,0.0,1.0,0.93148288,0.001232666,0.214820496,0.000874891,0.014873141,0.547756129,0.0,0.197517378,0.991559086,-0.0,0.001232666,0.628656008,0.000695134,0.00734856,1.525834789,0.077274365,0.081182833,0.0,0.85,1.50597616,0.000655603,0.858906856,0.00019861,0.005163853,1.98347228,0.547269116,0.000873501,1.561794563,0.000397219,0.010228401,0.01,0.001990239,1.070957404,0.000595829,0.123932473,2.66624779,0.266341012,0.530513705,0.001680832,0.538461538,3.007306883,0.16,0.288726284,0.455739287,0.000132144,0.964723876,0.452162005,0.196368005,0.381530665,0.210455659,0.262728435,0.038813211,0.450699505,0.0,0.069076598,0.057971865,0.017697172,0.055960857,0.024994654,0.031356147,0.04,6.487527352,0.095488567,4.0,7.0,0.878035776,0.53,627.87755102,0.589075884,259.0,1805.0,1241.0,313.0,769.0,378.0,489.0,87.290579304,0.258906982,36.771484375,136.430540827,113.644787645,55.225287356,102.431343284,76.05,90.215777262,4.99,0.0,0.802712161,0.901574803,0.901574803,0.901574803,0.02,105.11030479,0.255988428,426.076923077,0.032389779,426.0,407.0,444.0,0.578867105,0.273379249,0.794887585,0.025069877,3.0,116.841402337,0.11663356,425.258764608,0.033274947,425.0,407.0,443.0,0.189909036,0.288536203,0.799044118,0.01843644,4.47,0.281187994,0.992797513,2.0,?,0.0,0.0,0.0,0.0,0.0,17.37
cfc53adcc8ed18ca161bb6f8bc02b237,1,127091.0,297397.0,46600.0,273358.0,1.727274678,0.087939625,0.6,0.170472421,0.464112995,0.356910084,0.0,1.0,0.902714079,7.5634e-05,0.142813784,4.2918e-05,8.5837e-05,0.704575459,0.0,0.001982748,0.473481661,0.04,7.5634e-05,0.402820236,2.9266e-05,0.000845046,2.065895124,0.000142145,0.004301421,0.0,0.25,0.017819682,3.4979e-05,0.439560013,7.316e-06,0.000318264,2.256248403,0.456463685,3.2404e-05,0.349357559,1.8291e-05,0.000314606,2.64,0.000131457,0.332089073,3.2924e-05,0.000899919,2.847214458,0.261836786,0.212959879,0.039739173,0.463768116,2.766205487,5.37,0.002346437,5.809339779,0.0,0.561979163,0.004600914,2.9e-08,0.003611063,1.12e-07,0.000554003,0.036088102,0.972527002,-0.0,0.153999118,0.102877619,0.005399151,0.075729296,0.011317058,0.018963212,1.05,135.187893462,0.013054033,132.0,139.0,1.897381482,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.000150215,0.000429185,0.000429185,0.01,3164.5,0.036422312,7607.5,0.001580127,7607.5,7599.0,7599.0,0.478715655,0.35805543,0.804460417,0.003443973,2.19,3675.0,0.321382212,7628.75,0.009959197,7657.5,7551.0,7669.0,0.396397488,1.54790171,0.829063654,0.065136506,2.57,0.036774218,0.099059928,2.01,?,0.0,0.0,0.0,0.0,0.0,94.66
