@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Pre NUMERIC
@ATTRIBUTE Basic NUMERIC
@ATTRIBUTE KLB NUMERIC
@ATTRIBUTE CG NUMERIC
@ATTRIBUTE sp NUMERIC
@ATTRIBUTE DIAMETER NUMERIC
@ATTRIBUTE cl NUMERIC
@ATTRIBUTE unit NUMERIC
@ATTRIBUTE lobjois NUMERIC
@ATTRIBUTE ls-saps NUMERIC
@ATTRIBUTE ls-gsat NUMERIC
@ATTRIBUTE lp NUMERIC

@DATA
075ca0a158690a55b7254d9aaee2e103,1,0.67,0.01,5.38,7.24,1.24,10.01,5.03,0.11,2.22,2.24,2.05,180.0
e5a72ac8f4880702a4deacc7854318e8,1,48.7,1.26,180.0,0.0,66.52,55.76,5.31,41.3,5.11,5.12,4.28,151.34
da43a3ef0ef5d34143e765d480dedc7a,1,29.94,0.06,1.21,180.0,9.33,10.08,5.0,1.79,4.98,2.44,2.06,150.4
c0069efa0c924e416878d9426f1ef92e,1,28.07,0.0,0.02,112.3,3.24,2.01,5.02,0.32,2.69,2.75,2.0,140.67
eec821f866557886a5b0352332943fa2,1,17.26,0.0,0.03,180.0,5.27,1.55,5.02,0.34,2.99,2.5,2.0,140.55
26114429758a203d651f4df87c94de4c,1,0.02,0.0,0.04,0.17,0.06,0.78,4.99,0.01,2.86,4.76,2.0,0.42
7aaf3275cbe217044ef305f0a1ca8eb5,1,0.01,0.0,0.0,0.0,0.0,0.0,4.99,0.0,3.32,5.0,1.18,0.01
1ce81dbba1292bf791e194b17aa2a219,1,0.23,0.0,0.15,4.71,0.13,6.13,5.0,0.0,2.19,2.15,2.0,143.21
3728fe50d8038c639c2d9c84e04fe2b1,1,0.62,0.0,0.01,180.0,0.5,0.42,4.99,0.03,2.36,2.84,2.0,33.18
028d0cc7af63e9bba5795f20e24db4f6,1,0.07,0.0,0.04,0.75,0.12,5.11,4.98,0.03,2.58,3.82,2.0,140.98
cfc53adcc8ed18ca161bb6f8bc02b237,1,0.8,0.01,6.03,8.1,1.18,10.01,5.0,0.07,2.21,2.23,2.05,180.0
1ea7fe95e6158afe11f7b795b9aac939,1,123.95,1.76,180.0,0.0,180.0,11.17,5.19,180.0,5.04,5.04,3.64,180.0
8d31ec9edeac705ffd1b23f0cc4f3256,1,0.34,0.01,0.12,8.66,0.37,10.01,4.99,0.02,2.62,2.94,2.0,144.41
9e7f2b92c6e46d03ddcafd798aa80cb6,1,47.14,1.62,180.0,0.0,59.72,44.87,5.42,42.77,5.12,5.13,3.02,151.71
48539e7e4baae6db72cda7e8a9cecfa0,1,46.31,1.23,180.0,0.0,63.66,10.84,5.15,180.0,5.03,5.02,2.43,152.73
3cff6c97a515aecfe46ba0f1256a3c11,1,0.24,0.0,0.01,0.28,0.22,1.39,4.99,0.0,2.95,4.38,2.0,149.05
d8fa4265b93d0931ba6484e3cc0d7ab1,1,0.12,0.0,0.13,3.81,0.44,10.01,5.0,0.03,2.96,3.23,2.0,5.03
fe8b1ef742724947620a419d0180a640,1,0.0,0.0,0.01,0.0,0.02,0.06,4.99,0.0,3.39,4.99,2.0,0.04
15c53f73c62a78c24bf5974e4a7afcd8,1,0.01,0.0,0.0,0.2,0.02,0.35,4.99,0.0,3.09,4.83,2.0,7.05
41457ee03686b32962c12445524f62a9,1,0.0,0.0,0.01,0.0,0.01,0.05,5.03,0.0,3.37,5.03,2.0,0.04
af5838e83024d2dee3942be8d8e35fec,1,1.59,0.0,0.26,1.64,0.45,10.01,4.99,0.1,2.36,3.61,2.0,147.86
211938776d92f11870a687abd11d55a4,1,0.2,0.0,0.0,0.11,0.01,0.03,0.01,0.05,2.99,5.0,2.0,0.36
339b1cfda231aaca601cd6339c07ca2c,1,53.2,2.07,180.0,0.0,125.63,11.2,5.23,7.85,5.06,5.05,2.0,150.86
30e680ded3b9be6be0b5baac273f2646,1,0.8,0.01,5.66,7.31,1.24,10.01,5.0,0.01,2.21,2.22,2.0,180.0
1aa7cd96ab1f7bf58984deccf8362ab4,1,0.04,0.0,0.03,0.29,0.12,3.13,5.02,0.01,2.83,3.53,2.0,141.33
711ff7681711949f44b07a0d530dc729,1,0.93,0.02,8.98,9.8,1.45,10.02,5.0,0.1,2.22,2.2,2.01,180.0
dbe18c99e95ac42816b99b96d36a8732,1,5.81,0.07,180.0,0.0,8.0,10.04,5.02,13.69,2.64,2.62,2.03,152.11
a4941208671f6ebfd118e4e563538c31,1,27.96,0.0,0.02,82.02,2.23,2.42,4.99,0.36,2.59,2.83,2.0,118.64
a552a058e6376a36b1f1b2724f228364,1,0.81,0.02,1.77,3.99,3.91,10.01,5.03,0.06,2.17,2.33,2.0,166.03
f090d0d6eaff3b92c817f5db6fa47544,1,0.57,0.0,0.01,0.08,0.05,0.67,4.99,0.0,2.51,4.49,2.0,7.58
bc7dc7a83b442a2bf4cf8cae3f0e0faa,1,48.53,1.28,180.0,0.0,59.64,55.36,5.15,38.64,5.04,5.03,6.35,151.28
57c305967b30c503da1737258e6cc7e5,1,0.54,0.0,2.02,27.58,1.97,10.01,5.01,0.19,2.19,2.35,2.0,171.06
f448874997bae64bd455fb00309dc738,1,0.72,0.01,5.8,7.48,1.14,10.01,5.02,0.03,2.21,2.21,2.0,180.0
8403d03df1ce64af3bf7581449d320fb,1,0.9,0.01,2.02,6.9,2.4,10.01,5.0,0.14,2.33,2.27,2.02,160.24
d66ab8bce1b8979dbd26b3c220e817be,1,42.76,0.73,180.0,0.0,51.07,10.08,5.15,2.92,5.02,5.02,2.16,150.71
9c7043290cee8127c3626d8067759267,1,1.69,0.0,0.0,0.43,0.1,0.27,5.0,0.02,2.71,4.07,2.0,131.05
fee70cede2b5b55bfbdb6e48fbe7ce4f,1,0.48,0.01,0.77,10.72,0.81,10.01,5.01,0.25,2.31,2.55,2.0,162.92
